num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	1.00	0.00	1.00	0.00	0.00	0.00	0.00	107.810032	4.069803
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	0.18	0.20	0.26	0.08	0.17	0.33	0.06	107.805887	4.083824
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	-0.00	0.18	0.20	0.26	0.08	0.17	0.33	0.06	43.013480	302.103246
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	0.18	0.20	0.26	0.08	0.17	0.33	0.06	48.762372	1.938917
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	1.00	0.00	1.00	0.00	0.00	0.00	0.00	24.381532	12.934862
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	1.00	0.00	1.00	0.00	0.00	0.00	0.00	24.381532	12.934862
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	1.00	0.00	1.00	0.00	0.00	0.00	0.00	23.622115	9.413581
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	0.18	0.20	0.26	0.08	0.17	0.33	0.06	39.739827	34.261744
num	M	a1	lambda	e_eff	x0	x1	x2	x3	x4	x5	x6	Shj	time
21	41	0.0	1.0e+002	0.06	0.18	0.20	0.26	0.08	0.17	0.33	0.06	107.805887	4.083824
